"chart_position","chart_date","song","performer","song_id"
76,2010-05-29,"The Boy Is Mine","Glee Cast","The Boy Is MineGlee Cast"
77,2010-06-05,"Neutron Star Collision (Love Is Forever)","Muse","Neutron Star Collision (Love Is Forever)Muse"
81,2010-06-05,"Safety Dance","Glee Cast","Safety DanceGlee Cast"
72,2010-06-12,"Beth","Glee Cast","BethGlee Cast"
81,2010-06-12,"Leave Right Now","Will Young","Leave Right NowWill Young"
100,2010-06-12,"Super High","Rick Ross Featuring Ne-Yo","Super HighRick Ross Featuring Ne-Yo"
88,2010-06-12,"The Boxer","Lee DeWyze","The BoxerLee DeWyze"
57,2010-06-12,"Up To The Mountain","Crystal Bowersox","Up To The MountainCrystal Bowersox"
93,2010-06-12,"Who Dat","J. Cole","Who DatJ. Cole"
79,2010-06-19,"Another One Bites The Dust","Glee Cast","Another One Bites The DustGlee Cast"
75,2010-06-19,"Deja Vu","3OH!3","Deja Vu3OH!3"
96,2010-06-19,"Dirty Picture","Taio Cruz Featuring Ke$ha","Dirty PictureTaio Cruz Featuring Ke$ha"
69,2010-06-19,"Good Vibrations","Glee Cast","Good VibrationsGlee Cast"
95,2010-06-19,"It's A Man's, Man's Man's World","Glee Cast","It's A Man's, Man's Man's WorldGlee Cast"
93,2010-06-19,"Loser","Glee Cast","LoserGlee Cast"
87,2010-06-19,"Tell Me Something Good","Glee Cast","Tell Me Something GoodGlee Cast"
