"chart_position","chart_date","song","performer","song_id"
96,2018-07-21,"Kream","Iggy Azalea Feauring Tyga","KreamIggy Azalea Feauring Tyga"
73,2018-07-21,"Millidelphia","Meek Mill Featuring Swizz Beatz","MillidelphiaMeek Mill Featuring Swizz Beatz"
76,2018-07-21,"Racks Blue","Future","Racks BlueFuture"
53,2018-07-21,"Wifi Lit","Future","Wifi LitFuture"
73,2018-07-28,"Fr Fr","Wiz Khalifa Featuring Lil Skies","Fr FrWiz Khalifa Featuring Lil Skies"
60,2018-08-04,"I Might Need Security","Chance The Rapper","I Might Need SecurityChance The Rapper"
80,2018-08-11,"One Day","Logic Featuring Ryan Tedder","One DayLogic Featuring Ryan Tedder"
48,2018-08-18,"Astrothunder","Travis Scott","AstrothunderTravis Scott"
68,2018-08-18,"Coffee Bean","Travis Scott","Coffee BeanTravis Scott"
76,2018-08-18,"Could've Been","H.E.R. Featuring Bryson Tiller","Could've BeenH.E.R. Featuring Bryson Tiller"
53,2018-08-18,"Houstonfornication","Travis Scott","HoustonfornicationTravis Scott"
41,2018-08-18,"NC-17","Travis Scott","NC-17Travis Scott"
47,2018-08-18,"Skeletons","Travis Scott","SkeletonsTravis Scott"
43,2018-08-18,"Who? What!","Travis Scott","Who? What!Travis Scott"
87,2018-08-25,"Album Of The Year (Freestyle)","J. Cole","Album Of The Year (Freestyle)J. Cole"
60,2018-08-25,"Ganja Burns","Nicki Minaj","Ganja BurnsNicki Minaj"
90,2018-08-25,"Have It All","Jason Mraz","Have It AllJason Mraz"
58,2018-08-25,"Majesty","Nicki Minaj Featuring Eminem & Labrinth","MajestyNicki Minaj Featuring Eminem & Labrinth"
98,2018-08-25,"Thought I Knew You","Nicki Minaj Featuring The Weeknd","Thought I Knew YouNicki Minaj Featuring The Weeknd"
62,2018-09-01,"Everytime","Ariana Grande","EverytimeAriana Grande"
87,2018-09-01,"Goodnight N Go","Ariana Grande","Goodnight N GoAriana Grande"
88,2018-09-01,"Made For Now","Janet & Daddy Yankee","Made For NowJanet & Daddy Yankee"
99,2018-09-01,"Pete Davidson","Ariana Grande","Pete DavidsonAriana Grande"
72,2018-09-01,"R.E.M","Ariana Grande","R.E.MAriana Grande"
55,2018-09-01,"Sweetener","Ariana Grande","SweetenerAriana Grande"
90,2018-09-08,"Happy Now","Zedd & Elley Duhe","Happy NowZedd & Elley Duhe"
72,2018-09-08,"Unica","Ozuna","UnicaOzuna"
67,2018-09-15,"Good Guy","Eminem Featuring Jessie Reyez","Good GuyEminem Featuring Jessie Reyez"
65,2018-09-15,"Nice Guy","Eminem & Jessie Reyez","Nice GuyEminem & Jessie Reyez"
39,2018-09-15,"Normal","Eminem","NormalEminem"
42,2018-09-15,"Stepping Stone","Eminem","Stepping StoneEminem"
91,2018-09-22,"Come Back To Earth","Mac Miller","Come Back To EarthMac Miller"
70,2018-09-22,"Hurt Feelings","Mac Miller","Hurt FeelingsMac Miller"
76,2018-09-29,"Pretty Little Fears","6LACK Featuring J. Cole","Pretty Little Fears6LACK Featuring J. Cole"
26,2018-10-13,"Dark Side Of The Moon","Lil Wayne Featuring Nicki Minaj","Dark Side Of The MoonLil Wayne Featuring Nicki Minaj"
81,2018-10-13,"Demon","Lil Wayne","DemonLil Wayne"
39,2018-10-13,"Dope N****z","Lil Wayne Featuring Snoop Dogg","Dope N****zLil Wayne Featuring Snoop Dogg"
90,2018-10-13,"Dope New Gospel","Lil Wayne Featuring Nivea","Dope New GospelLil Wayne Featuring Nivea"
36,2018-10-13,"Famous","Lil Wayne Featuring Reginae Carter","FamousLil Wayne Featuring Reginae Carter"
59,2018-10-13,"Hittas","Lil Wayne","HittasLil Wayne"
75,2018-10-13,"Let It All Work Out","Lil Wayne","Let It All Work OutLil Wayne"
74,2018-10-13,"Mess","Lil Wayne","MessLil Wayne"
47,2018-10-13,"Open Letter","Lil Wayne","Open LetterLil Wayne"
62,2018-10-13,"Open Safe","Lil Wayne","Open SafeLil Wayne"
86,2018-10-13,"Perfect Strangers","Lil Wayne","Perfect StrangersLil Wayne"
57,2018-10-13,"Problems","Lil Wayne","ProblemsLil Wayne"
76,2018-10-13,"Start This S**t Off Right","Lil Wayne Featuring Ashanti & Mack Maine","Start This S**t Off RightLil Wayne Featuring Ashanti & Mack Maine"
65,2018-10-13,"Took His Time","Lil Wayne","Took His TimeLil Wayne"
78,2018-10-13,"Used 2","Lil Wayne","Used 2Lil Wayne"
24,2018-10-13,"What About Me","Lil Wayne Featuring Sosamann","What About MeLil Wayne Featuring Sosamann"
80,2018-10-20,"Belly","Lil Baby & Gunna","BellyLil Baby & Gunna"
61,2018-10-20,"Business Is Business","Lil Baby & Gunna","Business Is BusinessLil Baby & Gunna"
97,2018-10-20,"Deep End","Lil Baby","Deep EndLil Baby"
98,2018-10-20,"I Am","Lil Baby & Gunna","I AmLil Baby & Gunna"
63,2018-10-20,"Is That Alright?","Lady Gaga","Is That Alright?Lady Gaga"
93,2018-10-20,"Maybe It's Time","Bradley Cooper","Maybe It's TimeBradley Cooper"
81,2018-10-20,"My Blood","twenty one pilots","My Bloodtwenty one pilots"
54,2018-10-20,"Off White VLONE","Lil Baby & Gunna Featuring Lil Durk & NAV","Off White VLONELil Baby & Gunna Featuring Lil Durk & NAV"
86,2018-10-27,"Biggest Alley Oop","Quavo","Biggest Alley OopQuavo"
48,2018-10-27,"Flip The Switch","Quavo Featuring Drake","Flip The SwitchQuavo Featuring Drake"
93,2018-10-27,"Huncho Dreams","Quavo","Huncho DreamsQuavo"
100,2018-10-27,"Lose It","Quavo Featuring Lil Baby","Lose ItQuavo Featuring Lil Baby"
61,2018-10-27,"Pass Out","Quavo Featuring 21 Savage","Pass OutQuavo Featuring 21 Savage"
88,2018-10-27,"Rerun","Quavo Featuring Travis Scott","RerunQuavo Featuring Travis Scott"
82,2018-11-03,"Astronauts","Future & Juice WRLD","AstronautsFuture & Juice WRLD"
98,2018-11-03,"Get Dripped","Lil Yachty Featuring Playboi Carti","Get DrippedLil Yachty Featuring Playboi Carti"
72,2018-11-03,"Jet Lag","Future & Juice WRLD Featuring Young Scooter","Jet LagFuture & Juice WRLD Featuring Young Scooter"
93,2018-11-03,"Kiss And Make Up","Dua Lipa & BLACKPINK","Kiss And Make UpDua Lipa & BLACKPINK"
92,2018-11-03,"Make It Back","Juice WRLD","Make It BackJuice WRLD"
83,2018-11-03,"Saturday Nights","Khalid","Saturday NightsKhalid"
88,2018-11-03,"Suncity","Khalid Featuring Empress Of","SuncityKhalid Featuring Empress Of"
89,2018-11-03,"Vertigo","Khalid","VertigoKhalid"
91,2018-11-03,"Yacht Club","Lil Yachty Featuring Juice WRLD","Yacht ClubLil Yachty Featuring Juice WRLD"
90,2018-11-10,"A Million Dreams","P!nk","A Million DreamsP!nk"
97,2018-11-10,"Kamikaze","Lil Mosey","KamikazeLil Mosey"
89,2018-11-10,"Waste It On Me","Steve Aoki Featuring BTS","Waste It On MeSteve Aoki Featuring BTS"
99,2018-11-17,"Casper","TakeOff","CasperTakeOff"
